stop_id,stop_name,stop_lat,stop_lon
2_42,вул. Чорнобильська,50.45945358276367,30.34679412841797
2_82,вул. Чорнобильська,50.45973205566406,30.347196578979492
2_87,вул. Чорнобильська,50.45949172973633,30.3466796875
2_241,вул. Ш Руставелі,50.43886947631836,30.5198917388916
2_1,вул. Щусева (23тр),50.47465515136719,30.43922233581543
2_27,вул. Якуба Коласа,50.43735885620117,30.385955810546875
2_224,вул.Паньківська,50.43903350830078,30.502559661865234
2_237,вул.Паньківська,50.43912124633789,30.5023136138916
2_10404,Дарницька пл,50.44416046142578,30.625999450683594
2_10405,Дарницька пл,50.444435119628906,30.625764846801758
2_10790,Дарницька пл,50.44445037841797,30.6247501373291
2_10791,Дарницька пл,50.44426727294922,30.62548828125
2_4786,Дарницька пл,50.443790435791016,30.627098083496094
2_4787,Дарницька пл,50.44351577758789,30.628196716308594
2_5363,Дарницька пл,50.444278717041016,30.62533950805664
2_10416,Дарницький універмаг,50.44270324707031,30.62490463256836
2_10792,Дарницький універмаг,50.442649841308594,30.62456512451172
2_5365,Дарницький універмаг,50.442909240722656,30.623899459838867
2_165,ДБК-3,50.41603088378906,30.423830032348633
2_169,ДБК-3,50.41622543334961,30.42405891418457
2_238,Залізн вокзал,50.44086456298828,30.490127563476562
2_239,Залізн вокзал,50.44058609008789,30.490482330322266
2_5658,Залізн вокзал,50.441165924072266,30.49017906188965
2_5659,Залізн вокзал,50.440834045410156,30.49048614501953
2_233,Залізничне шосе,50.40403747558594,30.55185317993164
2_5283,Залізничне шосе,50.40403747558594,30.55185317993164
2_8391,Залізничне шосе 2,50.403839111328125,30.552066802978516
2_8393,Залізничне шосе 2,50.40387725830078,30.552024841308594
2_219,Залізничний масив,50.4252815246582,30.490318298339844
2_227,Залізничний масив,50.425724029541016,30.490873336791992
2_159,Кадетський гай,50.4143180847168,30.464262008666992
2_162,Кадетський гай,50.414424896240234,30.464202880859375
2_5530,Кадетський гай,50.4143180847168,30.464262008666992
2_5537,Кадетський гай,50.414424896240234,30.464202880859375
2_6083,Кадетський гай,50.41368865966797,30.46424102783203
2_6084,Кадетський гай,50.41395568847656,30.464109420776367
2_9508,Кадетський гай,50.41474151611328,30.46440315246582
2_9511,Кадетський гай,50.41450500488281,30.46422576904297
2_9751,Кадетський гай,50.4139289855957,30.46426773071289
2_9763,Кадетський гай,50.41410446166992,30.464191436767578
2_164,Кирилівська церква,50.485538482666016,30.471776962280273
2_167,Кирилівська церква,50.48452377319336,30.471206665039062
2_6081,Кирилівська церква,50.4835205078125,30.46929168701172
2_6087,Кирилівська церква,50.48353576660156,30.468923568725586
2_9610,Кирилівська церква,50.484901428222656,30.471345901489258
2_9613,Кирилівська церква,50.48487854003906,30.471485137939453
2_668,Кібцентр,50.36151123046875,30.44451141357422
2_673,Кібцентр,50.361480712890625,30.444175720214844
2_308,Куренівський парк,50.48743438720703,30.470172882080078
2_312,Куренівський парк,50.48751449584961,30.470333099365234
2_5294,Куренівський парк,50.48746109008789,30.470190048217773
2_5299,Куренівський парк,50.48751449584961,30.470333099365234
2_5550,Куренівський парк,50.48744583129883,30.470287322998047
2_5553,Куренівський парк,50.487449645996094,30.470495223999023
2_57,Куренівський парк,50.487396240234375,30.470149993896484
2_60,Куренівський парк,50.48751449584961,30.470333099365234
2_63,Куренівський парк,50.48744583129883,30.470287322998047
2_64,Куренівський парк,50.487449645996094,30.470495223999023
2_2,Лук’янівська пл.,50.461849212646484,30.480701446533203
2_3,Лук’янівська пл.,50.46185302734375,30.4808349609375
2_8680,м. Голосіївська,50.39789581298828,30.51075553894043
2_8681,м. Голосіївська,50.39651107788086,30.509199142456055
2_8684,м. Голосіївська,50.398284912109375,30.510913848876953
2_8685,м. Голосіївська,50.39661407470703,30.50918960571289
2_8732,м. Голосіївська,50.39817810058594,30.510974884033203
2_8733,м. Голосіївська,50.396888732910156,30.50960922241211
2_4855,м. Либідська  43-1,50.41239547729492,30.525880813598633
2_4858,м. Либідська  43-2,50.41182327270508,30.524938583374023
2_214,м. Почайна (25),50.48733901977539,30.497608184814453
2_215,м. Почайна (25),50.48649597167969,30.49810218811035
2_9548,м. Почайна (29),50.48774337768555,30.497631072998047
2_9549,м. Почайна (29),50.48794937133789,30.498153686523438
2_10427,м. Почайна (30),50.488922119140625,30.50164794921875
2_5387,м. Почайна (30),50.4890251159668,30.49887466430664
2_6093,м. Почайна (30),50.48893737792969,30.501346588134766
2_38,м. Святошин (7тр),50.45756149291992,30.390419006347656
2_41,м. Святошин (7тр),50.45774459838867,30.390514373779297
2_7046,м. Шуляв (27),50.45634841918945,30.44647979736328
2_7047,м. Шуляв (27),50.45711135864258,30.44683074951172
2_8422,м. Шуляв (27),50.45713424682617,30.446857452392578
2_8423,м. Шуляв (27),50.45706558227539,30.446706771850586
2_9515,м. Шуляв (27),50.457401275634766,30.44686508178711
2_9518,м. Шуляв (27),50.457420349121094,30.44670867919922
2_5078,Мінський масив,50.52522659301758,30.462947845458984
2_5081,Мінський масив,50.52486801147461,30.462785720825195
2_5292,Мінський масив,50.525291442871094,30.46237564086914
2_5301,Мінський масив,50.52497482299805,30.462554931640625
2_244,міст Патона,50.42385482788086,30.565624237060547
2_6185,міст Патона,50.42399978637695,30.56471061706543
2_19,м-н Незалежності,50.45139694213867,30.521894454956055
2_22,м-н Незалежності,50.45136642456055,30.521282196044922
2_310,м-н Незалежності,50.45152282714844,30.5218505859375
2_314,м-н Незалежності,50.451480865478516,30.520835876464844
2_5120,м-н Незалежності,50.451480865478516,30.520835876464844
2_5121,м-н Незалежності,50.45152282714844,30.5218505859375
2_261,Музей архітектури,50.35465621948242,30.4887638092041
2_262,Музей архітектури,50.35359191894531,30.491193771362305
2_230,Музей історії України,50.43303298950195,30.55517578125
2_231,Музей історії України,50.43303298950195,30.555450439453125
