shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1_1_0,50.44667434692383,30.452878952026367,170,
1_1_1,50.4438591003418,30.442110061645508,170,
1_36_0,50.495174407958984,30.461732864379883,170,
1_36_1,50.4991340637207,30.46245765686035,170,
1_37_0,50.48926544189453,30.467601776123047,170,
1_37_1,50.52640914916992,30.397193908691406,170,
1_38_0,50.46281051635742,30.50304412841797,170,
1_38_1,50.435890197753906,30.41108512878418,170,
1_389_0,50.4991340637207,30.46245765686035,170,
1_389_1,50.526676177978516,30.394834518432617,170,
1_39_0,50.457908630371094,30.48619842529297,170,
1_39_1,50.435890197753906,30.41108512878418,170,
1_4_0,50.42326354980469,30.383434295654297,170,
1_4_1,50.40993881225586,30.398883819580078,170,
1_40_0,50.489524841308594,30.4667911529541,170,
1_40_1,50.50119400024414,30.491506576538086,170,
1_41_0,50.46232604980469,30.490100860595703,170,
1_41_1,50.462120056152344,30.49599266052246,170,
1_42_0,50.501434326171875,30.46023941040039,170,
1_42_1,50.495174407958984,30.461732864379883,170,
1_46_0,50.449485778808594,30.63626480102539,170,
1_46_1,50.42903518676758,30.641897201538086,170,
1_5_0,50.4477424621582,30.47629165649414,170,
1_5_1,50.43757629394531,30.417402267456055,170,
1_51_0,50.45265579223633,30.634145736694336,170,
1_51_1,50.42902374267578,30.652706146240234,170,
1_667_0,50.446353912353516,30.672189712524414,170,
1_667_1,50.440128326416016,30.637601852416992,170,
1_1_0,50.42970275878906,30.386106491088867,180,
1_1_1,50.446563720703125,30.452831268310547,180,
1_36_0,50.496009826660156,30.461732864379883,180,
1_36_1,50.498985290527344,30.46204376220703,180,
1_37_0,50.49051284790039,30.465478897094727,180,
1_37_1,50.528419494628906,30.41583251953125,180,
1_38_0,50.4623908996582,30.501976013183594,180,
1_38_1,50.43769836425781,30.409990310668945,180,
1_389_0,50.499046325683594,30.462142944335938,180,
1_389_1,50.525455474853516,30.397432327270508,180,
1_39_0,50.459815979003906,30.48401641845703,180,
1_39_1,50.43769836425781,30.409990310668945,180,
1_4_0,50.422943115234375,30.383155822753906,180,
