route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1_5,31725604,3,Станція «Жуля Верна» - Станція «Старовокзальна»,"Трамвай розпочинає рух із ст. «Жуля Верна», рухається просп. Леся Курбаса, просп. Любомира Гузара, вул. Борщагівською до ст. «Старовокзальна». Тривалість маршруту 23 хв. Частота відправлення трамваїв 4-10 хв.",0,https://kpt.kyiv.ua/schedule/tram/3,,
1_51,31725604,29,Станція метро «Бориспільська» - проспект А. Навої,"Трамвай розпочинає рух із  ст. м. «Бориспільська», рухається поруч залізничним вокзалом Дарниця  до ст. м. «Лісова». Тривалість маршруту 48 хв. Частота відправлення трамваїв 17- 26хв.",0,https://kpt.kyiv.ua/schedule/tram/29,,
1_552,31725604,22к,ЗЗБК  - м. Лісова,,0,,,
1_667,31725604,23к,,,0,,,
2_1,31725604,1,Багринова гора - Станція метро «Либідська»,"Тролейбус розпочинає рух із житлового масиву Багринова гора, рухається поруч з ст. м. «Деміївська» до ст.м.  «Либідська». Тривалість маршруту 17 хв. Частота відправлення тролейбусів 14-21 хв.",11,https://kpt.kyiv.ua/schedule/trolley/1,,
2_12,31725604,16,Вулиця Туполєва - Майдан Незалежності,"Тролейбус розпочинає рух із вул. Мрії, рухається поруч із ст. м. «Сирець», ст. м. «Дорогожичі»,  ст. м. «Лук'янівська» до Майдану Незалежності. Тривалість маршруту 43 хв. Частота відправлення тролейбусів 16-20 хв.",11,https://kpt.kyiv.ua/schedule/trolley/16,,
2_14,31725604,17,Площа Космонавтів - Станція метро «Площа Українських Героїв»,"Тролейбус розпочинає рух із пл. Космонавтів, рухається поруч із  ст.м. «Університет» до ст.м.  «Площа Українських Героїв». Тривалість маршруту 31 хв. Частота відправлення тролейбусів 17-34 хв.",11,https://kpt.kyiv.ua/schedule/trolley/17,,
2_15,31725604,18,Вулиця Сошенка - Майдан Незалежності,"Тролейбус розпочинає рух із вул. Сошенка, рухається поруч з ст. міської електрички «Пріорка», ст.м. «Лук'янівська» та прибуває до Майдану Незалежності. Тривалість маршруту 47 хв. Частота відправлення тролейбусів 8-16 хв.",11,https://kpt.kyiv.ua/schedule/trolley/18,,
2_16,31725604,19,Площа Космонавтів - Вулиця Ольжича,"Тролейбус розпочинає рух із пл. Космонавтів, рухається поруч із ст. м. «Лук'янівська», ст. м. «Дорогожичі» до вул. Олега Ольжича. Тривалість маршруту 37 хв. Частота відправлення тролейбусів 23 хв.",11,https://kpt.kyiv.ua/schedule/trolley/19,,
2_21,31725604,23,Вулиця Туполєва - Станція метро «Лук’янівська»,"Тролейбус розпочинає рух із вул. Мрії, рухається поруч із ст. м. «Сирець» до Лук'янівської пл. (ст. м. «Лук'янівська»). Тривалість маршруту 29 хв. Частота відправлення тролейбусів 23 хв.",11,https://kpt.kyiv.ua/schedule/trolley/23,,
2_23,31725604,24,Вулиця Північна - Проспект Свободи,,11,,,
2_25,31725604,25,Проспект Свободи - Станція метро «Почайна»,"Тролейбус розпочинає рух із просп. Свободи, рухається поруч із ст. міської електрички: «Пріорка», «Куренівка» та прибуває до ст.м. «Почайна». Тривалість маршруту 31 хв. Частота відправлення тролейбусів 13-25 хв.",11,https://kpt.kyiv.ua/schedule/trolley/25,,
