name,geometry
Вул. Празька,POINT (30.6285645 50.4405882)
вул. Привокзальна,POINT (30.6385336 50.428117)
Вул. Пластова,POINT (30.6284979 50.4427217)
Фінський провулок,POINT (30.6359799 50.4498756)
АТС,POINT (30.6298466 50.4090778)
Музична школа,POINT (30.6632454 50.4181891)
Парк Партизанської Слави,POINT (30.6664528 50.4162118)
Торговий центр,POINT (30.6326827 50.4021037)
Харківське шосе,POINT (30.6546059 50.4187751)
Харківське шосе,POINT (30.6557042 50.4195145)
Харківський масив,POINT (30.6434496 50.4125602)
Вул. Анни Ахматової 15/27,POINT (30.6335191 50.4100252)
Вул. Вакуленчука,POINT (30.6817779 50.4058662)
Вул. Вербицького,POINT (30.649698 50.4157009)
Вул. Грузинська,POINT (30.6722628 50.4112435)
Вул. Драгоманова,POINT (30.6383094 50.4112647)
Новодарницька вулиця,POINT (30.6544014 50.425935)
вулиця Юрія Шевельова,POINT (30.655933 50.4233842)
Ташкентська вулиця,POINT (30.6679473 50.4141019)
Тростянецька вулиця,POINT (30.657608 50.4217074)
вулиця Ісмаїла Гаспринського,POINT (30.652462 50.4291661)
пров. Ялинковий,POINT (30.6765762 50.4088022)
просп. Григоренка,POINT (30.6311945 50.4047603)
Вул. Ревуцького,POINT (30.6470324 50.4140175)
вул. Сімферопольська,POINT (30.6446464 50.4299151)
вул. Остафія Дашкевича,POINT (30.6027145 50.4850964)
вул. Ігоря Юхновського,POINT (30.6024722 50.4850875)
проспект Воскресенський,POINT (30.5987451 50.4845634)
Управління лісництвом,POINT (30.4406323 50.5273579)
Дарницький вокзал,POINT (30.6476677 50.4306958)
Ліцей №293,POINT (30.6236208 50.5292803)
Мікрорайон №20,POINT (30.6275605 50.5292234)
2-а лінія,POINT (30.3627717 50.5295518)
2-а лінія,POINT (30.3627371 50.5295316)
"Ст. м. ""Лісова""",POINT (30.6426608 50.4633606)
Вулиця Зої Гайдай,POINT (30.4915805 50.5148686)
АТП-13055,POINT (30.6411511 50.4419078)
АТП-13055,POINT (30.6413716 50.4426219)
Станція метро «Мінська»,POINT (30.492936 50.5114333)
Вулиця Добрининська,POINT (30.4908192 50.5032668)
Вулиця Добрининська,POINT (30.4912358 50.5025551)
«На вимогу» вихід до житлового масиву Виноградар,POINT (30.4063756 50.5274966)
«На вимогу» вихід до житлового масиву Виноградар,POINT (30.4062559 50.5274389)
Станція метро «Оболонь»,POINT (30.4999408 50.5011984)
Вулиця Азербайджанська,POINT (30.6398567 50.4388223)
Стадіон «Спартак»,POINT (30.4745636 50.4847077)
вул. Зодчих,POINT (30.3872669 50.4180222)
Вулиця Павла Усенка,POINT (30.6323621 50.4461538)
Вул. Гната Хоткевича,POINT (30.6381782 50.4447416)
Вул. Гната Хоткевича,POINT (30.6380916 50.4447266)
Дарницька ТЕЦ,POINT (30.6374875 50.44769)
Дарницька ТЕЦ,POINT (30.6372494 50.4479563)
вул. Ярославська,POINT (30.5130111 50.4684306)
Дарницький ринок,POINT (30.6527019 50.4313305)
